







03/06/2023,"PANERA BREAD #600855 O 03/04 PURCHASE 585-272-7410 NY","-21.47","399.70"
03/06/2023,"UBER EATS 03/04 PURCHASE HELP.UBER.COM CA","-35.20","364.50"
03/06/2023,"CHIPOTLE 1313 03/04 MOBILE PURCHASE ROCHESTER NY","-9.18","355.32"
03/06/2023,"Zelle Transfer Conf# gzyk3fj31; Dulce","-30.00","325.32"
03/06/2023,"CHIPOTLE 1313 03/05 MOBILE PURCHASE ROCHESTER NY","-12.04","313.28"
03/06/2023,"MCDONALD'S F11172 03/05 PURCHASE ROCHESTER NY","-7.98","305.30"
03/06/2023,"STARBUCKS 800 03/06 PURCHASE SEATTLE WA","-5.67","299.63"
03/07/2023,"DoorDash, Inc. DES:DoorDash, ID:ST-P9E6Y5G0O8S9 INDN:RYAN GARVIN CO ID:XXXXX65600 CCD","33.73","333.36"
03/07/2023,"APPLE.COM/BILL 03/06 PURCHASE 866-712-7753 CA","-10.99","322.37"
03/07/2023,"CHIPOTLE 1313 03/06 MOBILE PURCHASE ROCHESTER NY","-12.04","310.33"
03/07/2023,"ROBINHOOD DES:DEBITS ID:XXXXX1697 INDN:Ryan Garvin CO ID:XXXXX94001 WEB","-33.08","277.25"
03/08/2023,"CHICK-FIL-A #04271 03/06 PURCHASE ROCHESTER NY","-12.09","265.16"
